sentence,aspect_category,polarity
The iLife software that comes with the computer is so simple to use and produces a great finished product.,LAPTOP#DESIGN_FEATURES,positive
I highly recommend this product!,LAPTOP#GENERAL,positive
Needs constant repair.,LAPTOP#QUALITY,negative
First the screen goes completely out.,DISPLAY#OPERATION_PERFORMANCE,negative
"Then HP sends it back to me with the hardware screwed up, not able to connect.",SUPPORT#QUALITY,negative
"Now the screen is going darker, darker, darker.",DISPLAY#OPERATION_PERFORMANCE,negative
HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,SUPPORT#QUALITY,negative
HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,WARRANTY#PRICE,negative
"Oh yeah, don't forget the expensive shipping to and from HP.",SHIPPING#PRICE,negative
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,SHIPPING#PRICE,negative
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,COMPANY#GENERAL,negative
So far so good with this laptop.,LAPTOP#GENERAL,positive
"Fan vents to the side, so no cooling pad needed, great feature!",FANS_COOLING#DESIGN_FEATURES,positive
Screen is crystal clear and the system is very responsive.,DISPLAY#QUALITY,positive
Screen is crystal clear and the system is very responsive.,LAPTOP#OPERATION_PERFORMANCE,positive
Memory is upgradable.,LAPTOP#USABILITY,positive
The only thing I would change about it is the mouse keys.,MOUSE#QUALITY,negative
They click.,MOUSE#QUALITY,negative
"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!",MOUSE#QUALITY,negative
"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!",LAPTOP#GENERAL,positive
"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!",LAPTOP#PRICE,positive
I HATE this one.,LAPTOP#GENERAL,negative
Vista is a nightmare.,OS#GENERAL,negative
No tutorials on the display.,LAPTOP#MISCELLANEOUS,negative
The book is useless.,LAPTOP#MISCELLANEOUS,negative
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,LAPTOP#MISCELLANEOUS,negative
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,LAPTOP#USABILITY,negative
Thinking about returning it,LAPTOP#GENERAL,negative
The Macbook is a fantastic laptop.,LAPTOP#GENERAL,positive
You will love this macbook if you choose to buy it.,LAPTOP#GENERAL,positive
The macbook rarely requires a hard reboot.,LAPTOP#OPERATION_PERFORMANCE,positive
It just works flawlessly!,LAPTOP#OPERATION_PERFORMANCE,positive
Its hard to encounter a problem on a mac that would require such abrupt action.,LAPTOP#GENERAL,positive
"I honestly love my mac, thats why I am a self proclaimed mac addict.",LAPTOP#GENERAL,positive
"I honestly love my mac, thats why I am a self proclaimed mac addict.",COMPANY#GENERAL,positive
This was purchased for my daughter and I was pleasantly surprised.,LAPTOP#GENERAL,positive
It had the full sized touch pad with 2 buttons instead of just one.,MOUSE#DESIGN_FEATURES,positive
It made the computer much easier to use and navigate.,LAPTOP#USABILITY,positive
Keyboard was also very nice and had a solid feel.,KEYBOARD#GENERAL,positive
Keyboard was also very nice and had a solid feel.,KEYBOARD#QUALITY,positive
This system came loaded with Windows 7 Starter.,OS#GENERAL,neutral
"So far, so good.",LAPTOP#GENERAL,positive
"When I got this laptop in 2007 to help me with school, I had a hard time from beginning.",LAPTOP#GENERAL,negative
"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",LAPTOP#QUALITY,negative
Quite simply this is the best laptop I have ever owned.,LAPTOP#GENERAL,positive
"For me, five stars is not enough.",LAPTOP#GENERAL,positive
"I love the 15"" MacBook Pro.",LAPTOP#GENERAL,positive
"My parents bought it for me as a graduation gift, and i'm totally (almost kind of maybe definitely) obsessed with it.",LAPTOP#GENERAL,positive
It was very easy to just pick up and use--,LAPTOP#USABILITY,positive
It did not take long to get used to the Mac OS.,OS#USABILITY,positive
"I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",LAPTOP#DESIGN_FEATURES,positive
"I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",DISPLAY#DESIGN_FEATURES,positive
"I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",LAPTOP#PORTABILITY,positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",SOFTWARE#DESIGN_FEATURES,neutral
The built-in webcam is great for Skype and similar video-chat services.,MULTIMEDIA_DEVICES#MISCELLANEOUS,positive
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",SOFTWARE#USABILITY,positive
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",SOFTWARE#MISCELLANEOUS,positive
"All-in-all, I would definitely recommend this product for nearly everyone.",LAPTOP#GENERAL,positive
I love it!,LAPTOP#GENERAL,positive
They definitely have a superior product!,LAPTOP#GENERAL,positive
They definitely have a superior product!,COMPANY#GENERAL,positive
"Its not just slow on the internet, its slow in general.",LAPTOP#OPERATION_PERFORMANCE,negative
"Its not just slow on the internet, its slow in general.",LAPTOP#CONNECTIVITY,negative
No I am generous calling it slow.,LAPTOP#OPERATION_PERFORMANCE,negative
its more like a snail crawl.,LAPTOP#OPERATION_PERFORMANCE,negative
he can't stand it.,LAPTOP#GENERAL,negative
I can't begin to say how disappointed I am.,LAPTOP#GENERAL,negative
I should have spent an extra hundred bucks and got a full sized computer.,LAPTOP#GENERAL,negative
"the key bindings take a little getting used to, but have loved the Macbook Pro.",KEYBOARD#USABILITY,neutral
"the key bindings take a little getting used to, but have loved the Macbook Pro.",LAPTOP#GENERAL,positive
Delivery was early too.,SHIPPING#QUALITY,positive
It allows me to do everything I need from a computer and more.,LAPTOP#GENERAL,positive
"With awesome graphics and assuring security, it's perfect!",GRAPHICS#GENERAL,positive
"With awesome graphics and assuring security, it's perfect!",LAPTOP#QUALITY,positive
"With awesome graphics and assuring security, it's perfect!",LAPTOP#GENERAL,positive
I'd recommend this laptop to anyone!,LAPTOP#GENERAL,positive
The Toshiba Satellite laptop is  DESIGNED  to fail !,LAPTOP#GENERAL,negative
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,MOTHERBOARD#QUALITY,negative
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,POWER_SUPPLY#QUALITY,negative
Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,SUPPORT#QUALITY,negative
I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,SUPPORT#QUALITY,negative
Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,SUPPORT#QUALITY,negative
"It has far exceeded my expectations for power, storage, and abilitiy.",LAPTOP#OPERATION_PERFORMANCE,positive
"It has far exceeded my expectations for power, storage, and abilitiy.",HARD_DISC#DESIGN_FEATURES,positive
"It has far exceeded my expectations for power, storage, and abilitiy.",LAPTOP#USABILITY,positive
It is easy to navigate and update programs.,LAPTOP#USABILITY,positive
I've never had problems with viruses.,LAPTOP#QUALITY,positive
My next laptop will also be a Mac!,COMPANY#GENERAL,positive
I would like to tell you about the best laptop I just got from Mac.,LAPTOP#GENERAL,positive
My mac laptop is fabulous in both areas.,LAPTOP#OPERATION_PERFORMANCE,positive
My mac laptop is fabulous in both areas.,MEMORY#DESIGN_FEATURES,positive
It gives me the power and speed that I need to run all the programs I use to edit.,LAPTOP#OPERATION_PERFORMANCE,positive
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",SOFTWARE#OPERATION_PERFORMANCE,positive
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",SOFTWARE#USABILITY,positive
I would buy one of these for every person in my office if I could.,LAPTOP#GENERAL,positive
"In my line of work, I often have to take work home, and this makes it so easy.",LAPTOP#USABILITY,positive
"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.",KEYBOARD#DESIGN_FEATURES,positive
"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.",KEYBOARD#USABILITY,positive
"The apple care has never failed me, and I expect it to be the same for this computer as well.",SUPPORT#QUALITY,positive
I will only buy apple laptops from now on.,COMPANY#GENERAL,positive
"Great laptop for school, easy to use for beginners in the household.",LAPTOP#MISCELLANEOUS,positive
"Great laptop for school, easy to use for beginners in the household.",LAPTOP#USABILITY,positive
Keyboard is great but primary and secondary control buttons could be more durable.,KEYBOARD#GENERAL,positive
Keyboard is great but primary and secondary control buttons could be more durable.,KEYBOARD#QUALITY,negative
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,BATTERY#OPERATION_PERFORMANCE,neutral
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,LAPTOP#GENERAL,positive
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,LAPTOP#PRICE,neutral
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,COMPANY#GENERAL,neutral
My MacBook Pro has been a huge disappointment.,LAPTOP#GENERAL,negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",LAPTOP#QUALITY,negative
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",LAPTOP#OPERATION_PERFORMANCE,negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",BATTERY#OPERATION_PERFORMANCE,negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",LAPTOP#QUALITY,negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",SOFTWARE#OPERATION_PERFORMANCE,negative
I would not recommend this product to anyone.,LAPTOP#GENERAL,negative
"Screen is awesome, battery life is good.",DISPLAY#GENERAL,positive
"Screen is awesome, battery life is good.",BATTERY#OPERATION_PERFORMANCE,positive
Really like the textured surface which shows no fingerprints.,LAPTOP#QUALITY,positive
Good laptop for the money.,LAPTOP#GENERAL,positive
Good laptop for the money.,LAPTOP#PRICE,neutral
"Speakers don't get that loud, but good enough.",MULTIMEDIA_DEVICES#QUALITY,neutral
They don't crash.,LAPTOP#OPERATION_PERFORMANCE,positive
"If a website ever freezes (which is rare), its really easy to force quit.",LAPTOP#OPERATION_PERFORMANCE,positive
Never been hacked.,LAPTOP#QUALITY,positive
No viruses.,LAPTOP#QUALITY,positive
"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.",SUPPORT#QUALITY,positive
A mac is very easy to use and it simply makes sense.,LAPTOP#USABILITY,positive
Its also FUN to use!,LAPTOP#GENERAL,positive
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",SOFTWARE#GENERAL,positive
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.",SOFTWARE#DESIGN_FEATURES,positive
She said its very user friendly.,SOFTWARE#USABILITY,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",LAPTOP#GENERAL,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",LAPTOP#OPERATION_PERFORMANCE,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",LAPTOP#DESIGN_FEATURES,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",KEYBOARD#DESIGN_FEATURES,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",MOUSE#USABILITY,positive
"I am very happy I bought this Mac, well worth the extra money.",LAPTOP#PRICE,neutral
"I am very happy I bought this Mac, well worth the extra money.",LAPTOP#GENERAL,positive
Now that I have it I see that I really needed this for much more.,LAPTOP#GENERAL,positive
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",LAPTOP#OPERATION_PERFORMANCE,positive
I have not had a problem with the applications quitting or freezing.,SOFTWARE#OPERATION_PERFORMANCE,positive
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,LAPTOP#OPERATION_PERFORMANCE,positive
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,LAPTOP#GENERAL,positive
That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought.,COMPANY#GENERAL,positive
My MacBook Pro is no exception.,LAPTOP#GENERAL,positive
Since I've had this computer I've only used the trackpad because it is so nice and smooth.,MOUSE#USABILITY,positive
Since I've had this computer I've only used the trackpad because it is so nice and smooth.,MOUSE#OPERATION_PERFORMANCE,positive
I also like that you can scroll down in a window using two fingers on the trackpad.,MOUSE#OPERATION_PERFORMANCE,positive
I also like that you can scroll down in a window using two fingers on the trackpad.,MOUSE#USABILITY,positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",SOFTWARE#GENERAL,positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",LAPTOP#OPERATION_PERFORMANCE,positive
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,LAPTOP#GENERAL,positive
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,LAPTOP#PRICE,neutral
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,LAPTOP#QUALITY,positive
Shiny,LAPTOP#GENERAL,positive
This Laptop is the Best of the best!,LAPTOP#GENERAL,positive
The Awesomest of the awesomest.,LAPTOP#GENERAL,positive
"It is so great, I can Hardly ever take my hands off it!",LAPTOP#GENERAL,positive
My friends are in awe every time they come over!,LAPTOP#GENERAL,positive
"I got it for Christmas, and I was so excited to set it up!",LAPTOP#GENERAL,positive
"It is super fast, and always loads.",LAPTOP#OPERATION_PERFORMANCE,positive
I am just amazed.,LAPTOP#GENERAL,positive
The only bad part is the size/weight.,LAPTOP#DESIGN_FEATURES,negative
"It's like 9 punds, but if you can look past it, it's GREAT!",LAPTOP#GENERAL,positive
"It's like 9 punds, but if you can look past it, it's GREAT!",LAPTOP#DESIGN_FEATURES,negative
"If you don't like fingerprints, this might not be the laptop for you.",LAPTOP#QUALITY,neutral
"It super shiny, so you can see the fingerprints easily.",LAPTOP#QUALITY,neutral
All for such a great price.,LAPTOP#PRICE,positive
It's color is even cool.,LAPTOP#DESIGN_FEATURES,positive
Another Great thing is the Beast graphics.,GRAPHICS#QUALITY,positive
They are so realistic I am just speechless.,GRAPHICS#QUALITY,positive
"I let my friend borrow it, and she knows nothing about computers, and she used it with ease.",LAPTOP#USABILITY,positive
The cool thing about this is anyone can use it.,LAPTOP#USABILITY,positive
I don't know how I could ever live without my Qousmio.,LAPTOP#GENERAL,positive
"I own a Hewlett Packard laptop and I've had man problems with it since I bought in in Feb, 201",LAPTOP#QUALITY,negative
Ive had to call tech support many times.,LAPTOP#QUALITY,negative
Each time taking about 1 day or so.,SUPPORT#QUALITY,negative
I had to wait 3 weeks to get it back and it still is not working properly.,SUPPORT#QUALITY,negative
I had to pay for the shipping!,SUPPORT#QUALITY,negative
I will never buy anything from HP again!,COMPANY#GENERAL,negative
The Toshiba Satellite has been more than I expected for the price.,LAPTOP#GENERAL,positive
The Toshiba Satellite has been more than I expected for the price.,LAPTOP#PRICE,neutral
THis computer may be small but it is one heck of a power horse.,LAPTOP#OPERATION_PERFORMANCE,positive
THis computer may be small but it is one heck of a power horse.,LAPTOP#DESIGN_FEATURES,neutral
You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,LAPTOP#GENERAL,positive
You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,LAPTOP#MISCELLANEOUS,positive
for being so small it is amazing that it is as fast as it is.,LAPTOP#DESIGN_FEATURES,neutral
for being so small it is amazing that it is as fast as it is.,LAPTOP#OPERATION_PERFORMANCE,positive
when i first got it i thought the size of it was a joke.,LAPTOP#DESIGN_FEATURES,neutral
but after i got used to it i love it.,LAPTOP#DESIGN_FEATURES,positive
the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.,LAPTOP#DESIGN_FEATURES,positive
the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.,LAPTOP#PORTABILITY,positive
the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.,LAPTOP#USABILITY,positive
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",LAPTOP#DESIGN_FEATURES,positive
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,LAPTOP#DESIGN_FEATURES,neutral
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,LAPTOP#PORTABILITY,positive
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,LAPTOP#GENERAL,positive
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,LAPTOP#MISCELLANEOUS,neutral
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",LAPTOP#OPERATION_PERFORMANCE,positive
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",LAPTOP#USABILITY,positive
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",SOFTWARE#GENERAL,positive
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",LAPTOP#QUALITY,positive
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",LAPTOP#QUALITY,positive
"All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",SUPPORT#QUALITY,positive
"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",LAPTOP#QUALITY,positive
"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.",LAPTOP#GENERAL,positive
"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.",OS#USABILITY,positive
Not working = bad,LAPTOP#OPERATION_PERFORMANCE,negative
"I spent 2200 dollars on a ""top of the line laptop"".",LAPTOP#PRICE,negative
"I spent 2200 dollars on a ""top of the line laptop"".",LAPTOP#QUALITY,negative
I got the blue screen of death the first month I got it.,LAPTOP#OPERATION_PERFORMANCE,negative
I got the blue screen of death the first month I got it.,LAPTOP#QUALITY,negative
"1) Payed $2200 for a ""premium"" laptop",LAPTOP#PRICE,negative
"1) Payed $2200 for a ""premium"" laptop",LAPTOP#QUALITY,negative
2) Blue screen first month,LAPTOP#OPERATION_PERFORMANCE,negative
2) Blue screen first month,LAPTOP#QUALITY,negative
3) Horrible customer support-they lost my laptop for a month-got it back 3 months later,SUPPORT#QUALITY,negative
"4) Laptop still did not work, blue screen within a week...",SUPPORT#QUALITY,negative
5) Cut my losses and sold it for parts,LAPTOP#GENERAL,negative
"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",COMPANY#GENERAL,negative
"what an elegant, wonderful machine.",LAPTOP#DESIGN_FEATURES,positive
"what an elegant, wonderful machine.",LAPTOP#GENERAL,positive
"I'm making the switch and finding that my biggest problem is trying to do things the 'old' way - and Apple does, indeed, have the better idea.",LAPTOP#GENERAL,positive
"I'm making the switch and finding that my biggest problem is trying to do things the 'old' way - and Apple does, indeed, have the better idea.",COMPANY#GENERAL,positive
I really wish I had done this years ago.,LAPTOP#GENERAL,positive
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,LAPTOP#CONNECTIVITY,positive
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,LAPTOP#USABILITY,positive
I love it - never had a computer I was so impressed with - and I've had a lot of laptops and desktops - this one is FAR AND ABOVE THE BEST ONE I EVER HAD BEFORE.,LAPTOP#GENERAL,positive
"I tell everyone that I know, friends, family and enemies this is the absolute worst computer i have ever used.",LAPTOP#GENERAL,negative
The computer blinks it shuts off at will.,LAPTOP#OPERATION_PERFORMANCE,negative
The letter A stopped working after the first week.,KEYBOARD#QUALITY,negative
The letter A stopped working after the first week.,KEYBOARD#OPERATION_PERFORMANCE,negative
when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.,SUPPORT#QUALITY,negative
so the fact that the computer does not work on the 24 twenty fourth day is my fault.,SUPPORT#QUALITY,negative
so the fact that the computer does not work on the 24 twenty fourth day is my fault.,LAPTOP#QUALITY,negative
they have done absolutely nothing to fix the computer problem.,SUPPORT#QUALITY,negative
they have not sent a new one nor called.,SUPPORT#QUALITY,negative
i spent eight hundred dollars from a giant paper weight that looks good on a bus.,LAPTOP#DESIGN_FEATURES,neutral
i spent eight hundred dollars from a giant paper weight that looks good on a bus.,LAPTOP#PRICE,negative
then on top of it all their cusromer service center is in the middle east.,SUPPORT#MISCELLANEOUS,negative
So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand.,SUPPORT#QUALITY,negative
"Then to make matters worst, there is noone that they can transfer you to.",SUPPORT#QUALITY,negative
I had this computer for one month and had to send it in for repair.,LAPTOP#QUALITY,negative
Got the computer back a month later and it was still broken sent it out again and they repaired it.,SUPPORT#QUALITY,negative
3 weeks went by and the computer keeps crashing and will not open any applications.,SUPPORT#QUALITY,negative
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,SUPPORT#QUALITY,negative
DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,COMPANY#GENERAL,negative
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,SUPPORT#QUALITY,negative
COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.,LAPTOP#QUALITY,negative
I have had this laptop for a few months now and i would say im pretty satisfied.,LAPTOP#GENERAL,positive
The only problems are the sound isnt very loud I have to wear headphones.,MULTIMEDIA_DEVICES#QUALITY,negative
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,MOUSE#QUALITY,negative
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,SUPPORT#PRICE,negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,SUPPORT#PRICE,negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,SUPPORT#QUALITY,negative
It took a little over 2 weeks until i got it back.,SUPPORT#QUALITY,negative
ANd I babyed the heck out of it just one day when i opened it turned it on went to click and it was broke.,MOUSE#QUALITY,negative
To be honest i think it was faulty equipment or something but idk.,LAPTOP#QUALITY,negative
The graphics are great.,GRAPHICS#GENERAL,positive
The internet speed is spectacular.,LAPTOP#OPERATION_PERFORMANCE,positive
The internet speed is spectacular.,LAPTOP#CONNECTIVITY,positive
The battery life is probably an hour at best.,BATTERY#OPERATION_PERFORMANCE,negative
Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.,SOFTWARE#MISCELLANEOUS,negative
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,LAPTOP#OPERATION_PERFORMANCE,positive
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,LAPTOP#CONNECTIVITY,positive
I wish the volume could be louder and the mouse didnt break after only a month.,MULTIMEDIA_DEVICES#QUALITY,negative
I wish the volume could be louder and the mouse didnt break after only a month.,MOUSE#QUALITY,negative
I received this laptop as a gift and let me just tell you that its the worst.,LAPTOP#GENERAL,negative
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,MOTHERBOARD#QUALITY,negative
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,SUPPORT#QUALITY,negative
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,LAPTOP#MISCELLANEOUS,negative
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,LAPTOP#MISCELLANEOUS,negative
the whole experiece is horrible so save up and buy a better laptop.,LAPTOP#GENERAL,negative
I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,LAPTOP#GENERAL,negative
"The computer is so slow, even after paying staples the extra money to speed it up.",LAPTOP#OPERATION_PERFORMANCE,negative
They said it was a computer error on this type of computer.,LAPTOP#MISCELLANEOUS,negative
"Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",LAPTOP#QUALITY,negative
"When the computer has been on for several minutes, it will occasionaly just go off by itself.",LAPTOP#OPERATION_PERFORMANCE,negative
"Also, the battery does not last very long at all.",BATTERY#OPERATION_PERFORMANCE,negative
I would recommend not buying this product.,LAPTOP#GENERAL,negative
I have had no luck with staples or HP to resolve this problem.,SUPPORT#QUALITY,negative
I am stuck with a laptop that I cannot do very much with.,LAPTOP#GENERAL,negative
"Also, I have had alot of trouble with the keys sticking and will not type correctly.",KEYBOARD#OPERATION_PERFORMANCE,negative
"Also, I have had alot of trouble with the shift key to go to other lines.",KEYBOARD#OPERATION_PERFORMANCE,negative
"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",KEYBOARD#OPERATION_PERFORMANCE,negative
"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",KEYBOARD#USABILITY,negative
Sometimes the screen even goes black on this computer.,DISPLAY#OPERATION_PERFORMANCE,negative
Will probably never buy a HP again.,COMPANY#GENERAL,negative
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,LAPTOP#QUALITY,negative
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,LAPTOP#OPERATION_PERFORMANCE,negative
After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,HARD_DISC#QUALITY,negative
After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,SUPPORT#PRICE,negative
I hate it.,LAPTOP#GENERAL,negative
I have had the luxury (sarcasm) of owning 2 of these laptops.,LAPTOP#GENERAL,negative
The first fell apart right after the 1-year-warranty.,LAPTOP#QUALITY,negative
"During that time, I had to send it back 3 times.",LAPTOP#QUALITY,negative
I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.,LAPTOP#DESIGN_FEATURES,negative
I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.,LAPTOP#QUALITY,negative
I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.,LAPTOP#PRICE,negative
None of the techs at HP knew what they were doing.,SUPPORT#QUALITY,negative
"They would repair one thing, send it back and it would still have the same problem.",SUPPORT#QUALITY,negative
"The processor went on me, the fan went and the motherboard went.",CPU#QUALITY,negative
"The processor went on me, the fan went and the motherboard went.",FANS_COOLING#QUALITY,negative
"The processor went on me, the fan went and the motherboard went.",MOTHERBOARD#QUALITY,negative
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",SUPPORT#QUALITY,negative
"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",LAPTOP#GENERAL,negative
