sentence,aspect_term,begin,end,polarity
"The rooms were spotless, quite spacious and the bathroom was in excellent condition.",bathroom,48,56,positive
"The rooms were spotless, quite spacious and the bathroom was in excellent condition.",rooms,4,9,positive
The rooms were very clean.,rooms,4,9,positive
The rooms were very comfortable and clean.,The rooms,0,9,positive
The screen was incredible with a very good size.,with,26,30,positive
The screen was incredible with a very good size.,size,43,47,positive
The screen was incredible with a very good size.,screen,4,10,positive
"The service was excellent, the check-in easy and fast, the rooms clean and pleasant aroma, I have no complaints about my stay here.",check-in,31,39,positive
"The service was excellent, the check-in easy and fast, the rooms clean and pleasant aroma, I have no complaints about my stay here.",aroma,84,89,positive
"The service was excellent, the check-in easy and fast, the rooms clean and pleasant aroma, I have no complaints about my stay here.",my stay,118,125,positive
"The service was excellent, the check-in easy and fast, the rooms clean and pleasant aroma, I have no complaints about my stay here.",rooms,59,64,positive
"The service was excellent, the check-in easy and fast, the rooms clean and pleasant aroma, I have no complaints about my stay here.",service,4,11,positive
"The service was good, but the coffee horrible, it was cold and a little bitter.",service,4,11,positive
"The service was good, but the coffee horrible, it was cold and a little bitter.",coffee,30,36,negative
"The services was great, the staff really friendly.",services,4,12,positive
"The services was great, the staff really friendly.",staff,28,33,positive
The setup I hired met my expectations.,setup,4,9,positive
The staff is very kind.,staff,4,9,positive
The staff is very respectful.,staff,4,9,positive
"The staff was rude and the food was unsused, a total disgust of place",food,27,31,negative
"The staff was rude and the food was unsused, a total disgust of place",place,64,69,negative
"The staff was rude and the food was unsused, a total disgust of place",unsused,36,43,negative
"The staff was rude and the food was unsused, a total disgust of place",staff,4,9,negative
The staff was very friendly and attentive.,staff,4,9,positive
The staff was very kind.,staff,4,9,positive
The stay in general was good.,stay,4,8,positive
"The study center is totally untidy, the facilities are disgusting, and you don't have any information when you go to investigate.",the facilities,36,50,negative
"The study center is totally untidy, the facilities are disgusting, and you don't have any information when you go to investigate.",information,90,101,negative
"The study center is totally untidy, the facilities are disgusting, and you don't have any information when you go to investigate.",The study center is,0,19,negative
The swimming pool and sauna are amazing.,swimming pool and sauna,4,27,positive
The view is beautiful.,view,4,8,positive
"The view is magnificent, and it has a good service to the room.",service to the room,43,62,positive
"The view is magnificent, and it has a good service to the room.",view,4,8,positive
The view of the hotel is beautiful the people who work there are very friendly I loved the service,people who work there,39,60,positive
The view of the hotel is beautiful the people who work there are very friendly I loved the service,view of the hotel,4,21,positive
The view of the hotel is beautiful the people who work there are very friendly I loved the service,service,91,98,positive
The view towards the mountains was beautiful.,view towards the mountains,4,30,positive
"The waiters' service was very poor, the room temperature was very high, it was a complete disappointment.",room temperature,40,56,negative
"The waiters' service was very poor, the room temperature was very high, it was a complete disappointment.",waiters' service,4,20,negative
"The waiters' service was very poor, the room temperature was very high, it was a complete disappointment.",it,72,74,negative
The waitress was great but the food was ice cold.,food,31,35,negative
The waitress was great but the food was ice cold.,waitress,4,12,positive
The waitress was the worse I've ever had in my life and the food was not great but it was good.,waitress,4,12,negative
The workshop staff clarified all my doubts and left the car in perfect condition.,car,56,59,positive
The workshop staff clarified all my doubts and left the car in perfect condition.,workshop staff,4,18,positive
The workshop staff clarified all my doubts and left the car in perfect condition.,condition,71,80,positive
Their delivery service has been the most reliable out of all the other stores I have used.,delivery service,6,22,positive
Their delivery service is excellent and overall their site is just easily accessible.,accessible,74,84,positive
Their delivery service is excellent and overall their site is just easily accessible.,delivery service,6,22,positive
Their delivery service is excellent and overall their site is just easily accessible.,site,54,58,positive
Their product suggestions really made the entire experience much simpler.,Their product suggestions,0,25,positive
"There was a strange smell in my room, not pleasant.",room,32,36,negative
"There was a strange smell in my room, not pleasant.",smell,20,25,negative
There was no taxi service and we had to walk to the nearest taxi station.,taxi service,13,25,negative
"These empanadas are the worst I have ever eaten, they were cold and also the very expensive price for such bad food, I would not recommend them",empanadas,6,15,negative
"These empanadas are the worst I have ever eaten, they were cold and also the very expensive price for such bad food, I would not recommend them",price,92,97,negative
"These empanadas are the worst I have ever eaten, they were cold and also the very expensive price for such bad food, I would not recommend them",food,111,115,negative
They are really helpful.,They,0,4,positive
"They didn't have hot water and the food was bad, I was queering and I didn't get a good answer",food,35,39,negative
"They didn't have hot water and the food was bad, I was queering and I didn't get a good answer",hot water,17,26,negative
"They didn't have hot water and the food was bad, I was queering and I didn't get a good answer",They,0,4,negative
They even have a home treatment service.,home treatment service,17,39,positive
"They have a good number of quality hair products, I love",number of quality hair products,17,48,positive
They have a lot of resposed for your car.,resposed,19,27,positive
They have a lot of resposed for your car.,They,0,4,positive
They have a pleasant space and good service with highly pure and quality products in der,space,21,26,positive
They have a pleasant space and good service with highly pure and quality products in der,service,36,43,positive
They have a pleasant space and good service with highly pure and quality products in der,products,73,81,positive
They have good food and excellent drinks.,food,15,19,positive
They have good food and excellent drinks.,drinks,34,40,positive
"They have good high-resolution video game products and very good brand components, Excellent for video game lovers.",They,0,4,positive
"They have good high-resolution video game products and very good brand components, Excellent for video game lovers.",brand components,65,81,positive
"They have good high-resolution video game products and very good brand components, Excellent for video game lovers.",high-resolution video game products,15,50,positive
They have high quality and a reasonable price.,They,0,4,positive
They have high quality and a reasonable price.,quality,15,22,positive
They have high quality and a reasonable price.,price,40,45,positive
They have very weak support.,support,20,27,negative
They have very weak support.,They,0,4,negative
They really protected my eyes and do their job well.,job,43,46,positive
They really protected my eyes and do their job well.,They,0,4,positive
They told me that breakfast was included and in the end I had to pay for it.,breakfast,18,27,negative
"They understood the concept of what I wanted very well, they did a very good job and they adapted to the stipulated time",they,56,60,positive
"They understood the concept of what I wanted very well, they did a very good job and they adapted to the stipulated time",They,0,4,positive
"They understood the concept of what I wanted very well, they did a very good job and they adapted to the stipulated time",job,77,80,positive
This blood pressure monitor has been a blessing for me.,blood pressure monitor,5,27,positive
This brand is crap.,brand,5,10,negative
"This car is really fast, over 200 horse power,  i like the art style, well design, so far my only issue is that it takes quite a bit to recharge, other than that no problems, i like that it not harmful to the planet",art style,59,68,positive
"This car is really fast, over 200 horse power,  i like the art style, well design, so far my only issue is that it takes quite a bit to recharge, other than that no problems, i like that it not harmful to the planet",it,112,114,negative
"This car is really fast, over 200 horse power,  i like the art style, well design, so far my only issue is that it takes quite a bit to recharge, other than that no problems, i like that it not harmful to the planet",design,75,81,positive
"This car is really fast, over 200 horse power,  i like the art style, well design, so far my only issue is that it takes quite a bit to recharge, other than that no problems, i like that it not harmful to the planet",bit to recharge,129,144,negative
This is the right place.,place,18,23,positive
"This model was recommended to me and I can't complain, the games are smooth, the sound is spectacular and the camera modes are great and fun.",This model,0,10,positive
"This model was recommended to me and I can't complain, the games are smooth, the sound is spectacular and the camera modes are great and fun.",sound,81,86,positive
"This model was recommended to me and I can't complain, the games are smooth, the sound is spectacular and the camera modes are great and fun.",camera modes,110,122,positive
"This model was recommended to me and I can't complain, the games are smooth, the sound is spectacular and the camera modes are great and fun.",games,59,64,positive
"This morning I went to this restaurant and I really liked the attention, they have a very good amount of pÃ±atos, and drinks too, not so many desserts, but what I did not like was that I think they took a long time to take my order ...",drinks,117,123,positive
"This morning I went to this restaurant and I really liked the attention, they have a very good amount of pÃ±atos, and drinks too, not so many desserts, but what I did not like was that I think they took a long time to take my order ...",desserts,141,149,negative
"This morning I went to this restaurant and I really liked the attention, they have a very good amount of pÃ±atos, and drinks too, not so many desserts, but what I did not like was that I think they took a long time to take my order ...",attention,62,71,positive
"This morning I went to this restaurant and I really liked the attention, they have a very good amount of pÃ±atos, and drinks too, not so many desserts, but what I did not like was that I think they took a long time to take my order ...",amount of pÃ±atos,95,111,positive
"This morning I went to this restaurant and I really liked the attention, they have a very good amount of pÃ±atos, and drinks too, not so many desserts, but what I did not like was that I think they took a long time to take my order ...",they took a long time to take my order,192,230,negative
This smart tv is definitely amazing.,smart tv,5,13,positive
"Today I went to eat in a restaurant in the city center, everything was very tasty, the service more or less, the place was not very organized but I had a pleasant time.",everything,56,66,positive
"Today I went to eat in a restaurant in the city center, everything was very tasty, the service more or less, the place was not very organized but I had a pleasant time.",the place,109,118,negative
"Today I went to eat in a restaurant in the city center, everything was very tasty, the service more or less, the place was not very organized but I had a pleasant time.",time,163,167,positive
Took a little longer than I am used to but the food was exceptionally high quality.,food,47,51,positive
Vehicles in very good condition.,Vehicles,0,8,positive
Very good prices,prices,10,16,positive
"Very good service, qualified staff and also the place is nice.",staff,29,34,positive
"Very good service, qualified staff and also the place is nice.",place,48,53,positive
"Very good service, qualified staff and also the place is nice.",service,10,17,positive
"Very good service, the waiters very attentive and the food is made super fast and very tasty",waiters,23,30,positive
"Very good service, the waiters very attentive and the food is made super fast and very tasty",service,10,17,positive
"Very good service, the waiters very attentive and the food is made super fast and very tasty",food,54,58,positive
Very spacious site.,site,14,18,positive
Very tasty!,tasty,5,10,positive
Waited an hour for seating and food was awful.,food,31,35,negative
Waited an hour for seating and food was awful.,Waited,0,6,negative
Waited an hour for seating and food was awful.,awful,40,45,negative
We asked for an ocean view and they didn't give it to us.,they,31,35,negative
We asked for an ocean view and they didn't give it to us.,view,22,26,negative
We found a fly on the plate.,the plate,18,27,negative
"We had asked for a room with a sea view, they gave us a view but on the opposite side.",view,56,60,negative
We had to wait for the cleaning staff to do the job.,cleaning staff,23,37,negative
We noticed that the waitress was bringing other people their food first that came in way after we did.,waitress,20,28,negative
We ordered the vindaloo option and i was blown away by the quality of food.,quality of food,59,74,positive
We ordered the vindaloo option and i was blown away by the quality of food.,vindaloo option,15,30,positive
We see that this is one of the best hotels in the country where it offers a variety of meals and meals.,this,12,16,positive
We see that this is one of the best hotels in the country where it offers a variety of meals and meals.,hotels,36,42,positive
We see that this is one of the best hotels in the country where it offers a variety of meals and meals.,variety,76,83,positive
We stopped at air stations twice so we can have some fresh air and comfor.,air stations,14,26,positive
We were seated in the restaurant before everyone else and the waitress kept looking over at us but was waiting on everyone else first.,waitress,62,70,negative
We were served faster than I have ever been served.,served,8,14,positive
What a bad home service it takes mushisimo to arrive and when it arrives it is not what you expect,home service,11,23,negative
"What a good computer, you have very good features apart from being portable and easy to handle",features,41,49,positive
"What a good computer, you have very good features apart from being portable and easy to handle",computer,12,20,positive
"What a spectacular car, seats with very good lining, excellent tires, I have never seen a car like this",lining,45,51,positive
"What a spectacular car, seats with very good lining, excellent tires, I have never seen a car like this",tires,63,68,positive
"What a spectacular car, seats with very good lining, excellent tires, I have never seen a car like this",car,90,93,positive
"What a spectacular car, seats with very good lining, excellent tires, I have never seen a car like this",seats,24,29,positive
"What a spectacular car, seats with very good lining, excellent tires, I have never seen a car like this",car,19,22,positive
"What a terrible service, the nurses are not friendly and the doctor is never on time, how ineffective",nurses,29,35,negative
"What a terrible service, the nurses are not friendly and the doctor is never on time, how ineffective",service,16,23,negative
"What a terrible service, the nurses are not friendly and the doctor is never on time, how ineffective",doctor,61,67,negative
"What an ugly coffee machine, and it has a bad smell that sticks to coffee",smell,46,51,negative
"What an ugly coffee machine, and it has a bad smell that sticks to coffee",coffee,67,73,negative
"What an ugly coffee machine, and it has a bad smell that sticks to coffee",coffee machine,13,27,negative
When I bought this controller I make 905 wins in fifa and football games.,controller,19,29,positive
"When we arrived there were problems with our reservation, but the staff resolved the problem quickly.",staff,66,71,positive
"When we arrived there were problems with our reservation, but the staff resolved the problem quickly.",reservation,45,56,negative
When we arrived they didn't have our room ready for us.,room,37,41,negative
When we arrived they didn't have our room ready for us.,they,16,20,negative
"Whenever I call to make an appointment, the receptionists are always very polite and schedule apointments during the time of day when I would like them.",receptionists,44,57,positive
Which for me was perfect and thatÂ´s why I recommend it as a professional.,it,52,54,positive
Wish it was easier to change the volume.,change the volume,22,39,negative
With a very nice cleaning in the bathrooms.,cleaning in the bathrooms,17,42,positive
Worse wervice ever had in my life.,wervice,6,13,negative
Yogurt and butter are always fresh.,Yogurt and butter,0,17,positive
You can open my bank account with them very easily and the services they offer are very good,services,59,67,positive
You can open my bank account with them very easily and the services they offer are very good,them,34,38,positive
You can open my bank account with them very easily and the services they offer are very good,open my bank account,8,28,positive
You could hear the noise from the next room.,room,39,43,negative
You get a large variety of songs on the platform and the service is very easy to use.,service,57,64,positive
You get a large variety of songs on the platform and the service is very easy to use.,variety of songs,16,32,positive
"You request a credit and the law firm does not approve the request
.",law,29,32,negative
a good fast and in-depth service I am very satisfied and I recommend them,service,25,32,positive
a good fast and in-depth service I am very satisfied and I recommend them,them,69,73,positive
"a month ago I went to a psychologist to treat my depression after ending a relationship, he was excellent at applying an emotional regressive method.",applying an emotional regressive method,109,148,positive
"a month ago I went to a psychologist to treat my depression after ending a relationship, he was excellent at applying an emotional regressive method.",he,89,91,positive
"a month ago I went to a psychologist to treat my depression after ending a relationship, he was excellent at applying an emotional regressive method.",psychologist,24,36,positive
"a very tasty creation of Italian origin, some make it round and others square",creation of Italian origin,13,39,positive
accommodation price was so fair .,accommodation price,0,19,positive
"after ordering it took more than 25 minutes, good food but terrible service",service,68,75,negative
"after ordering it took more than 25 minutes, good food but terrible service",good,45,49,positive
"after ordering it took more than 25 minutes, good food but terrible service",food,50,54,positive
"an excellent service for people with fewer resources, paid with the taxes of all fighters",service for people with fewer resources,13,52,positive
at first i thought the prices would cost me too much but i found out that the prices are great  .,prices,78,84,positive
"but knowing how to use the capital granted as credit, these associations are very beneficial",these associations,54,72,positive
but the service doesn't help,service,8,15,negative
but unlike the capacitive of battery,battery,29,36,negative
"classical music is something relaxing that helps to de-stress the individual, I have had a very good experience with music of this type",classical music,0,15,positive
"classical music is something relaxing that helps to de-stress the individual, I have had a very good experience with music of this type",experience,101,111,positive
"classical music is something relaxing that helps to de-stress the individual, I have had a very good experience with music of this type",music,117,122,positive
"electricians are essential in a contuction since they make the distribution of the electrical lines in a more efficient way and in order to avoid subsequent risks, the only bad thing about this service is the amount of money they charge",electricians,0,12,positive
"electricians are essential in a contuction since they make the distribution of the electrical lines in a more efficient way and in order to avoid subsequent risks, the only bad thing about this service is the amount of money they charge",amount of money they charge,209,236,negative
"electricians are essential in a contuction since they make the distribution of the electrical lines in a more efficient way and in order to avoid subsequent risks, the only bad thing about this service is the amount of money they charge",service,194,201,negative
"excellent car, works great, super easy to drive, I recommend it.",works,15,20,positive
"excellent car, works great, super easy to drive, I recommend it.",car,10,13,positive
"excellent car, works great, super easy to drive, I recommend it.",it,61,63,positive
"excellent car, works great, super easy to drive, I recommend it.",to drive,39,47,positive
"excellent food, fresh and top quality ingredients, with an unbeatable taste",taste,70,75,positive
"excellent food, fresh and top quality ingredients, with an unbeatable taste",food,10,14,positive
"excellent food, fresh and top quality ingredients, with an unbeatable taste",quality ingredients,30,49,positive
"excellent investment service, I get my money back in a few days, and I will get very good profits",investment service,10,28,positive
"excellent investment service, I get my money back in a few days, and I will get very good profits",profits,90,97,positive
excellent products and great variety I found what I was looking for,products,10,18,positive
excellent products and great variety I found what I was looking for,variety,29,36,positive
"excellent service and good prices, they have a quality of very good brand products.",service,10,17,positive
"excellent service and good prices, they have a quality of very good brand products.",prices,27,33,positive
"excellent service and good prices, they have a quality of very good brand products.",brand products,68,82,positive
"excellent smartphone, 5000 battery lasts up to two days, excellent camera despite the cost",smartphone,10,20,positive
"excellent smartphone, 5000 battery lasts up to two days, excellent camera despite the cost",5000 battery,22,34,positive
"excellent smartphone, good screen resolution and with many accessories with 5g coverage",smartphone,10,20,positive
"excellent smartphone, good screen resolution and with many accessories with 5g coverage",screen resolution,27,44,positive
fast accurate and at an excellent price I recommend them,them,52,56,positive
fast accurate and at an excellent price I recommend them,price,34,39,positive
fast accurate and at an excellent price I recommend them,fast,0,4,positive
"fast food restaurants are usually the best places to eat when you don't feel like making food, but they are not always the healthiest",food,89,93,negative
"finally , the service is superb .",superb,25,31,positive
"finally , the service is superb .",service,14,21,positive
"good service, but I had a problem with my car which was not paid in full for a crash repair.",my car,39,45,negative
"good service, but I had a problem with my car which was not paid in full for a crash repair.",service,5,12,positive
"great attention, friendly staff and the rooms are very comfortable",attention,6,15,positive
"great attention, friendly staff and the rooms are very comfortable",staff,26,31,positive
"great attention, friendly staff and the rooms are very comfortable",rooms,40,45,positive
"great price and have more channel that others  i always have signal  and  had all  kids channels  for my  son,  you can have it with only a call",price,6,11,positive
"great price and have more channel that others  i always have signal  and  had all  kids channels  for my  son,  you can have it with only a call",channels,88,96,positive
he carefully listen to me and easily solve  my daily problems that  may cause me to be  distracted during your day.,he,0,2,positive
"hindu food here is not of this type, rather it seems japanese, it takes a long time between dishes and it does not have a great variety of beers",variety of beers,128,144,negative
"hindu food here is not of this type, rather it seems japanese, it takes a long time between dishes and it does not have a great variety of beers",time between dishes,79,98,negative
"hindu food here is not of this type, rather it seems japanese, it takes a long time between dishes and it does not have a great variety of beers",hindu food,0,10,negative
i bought cupcakes from the dessert shop and they tasted amazing.,tasted,49,55,positive
i bought cupcakes from the dessert shop and they tasted amazing.,cupcakes from the dessert shop,9,39,positive
"i bought this mouse for a really cheap price and i thought they would break easily, however that's not the case, they are sturdy and great quality, worth buying!",price,39,44,positive
"i bought this mouse for a really cheap price and i thought they would break easily, however that's not the case, they are sturdy and great quality, worth buying!",quality,139,146,positive
"i bought this mouse for a really cheap price and i thought they would break easily, however that's not the case, they are sturdy and great quality, worth buying!",mouse,14,19,positive
"i bought this phone  about  1 year age and  I was so happy at first , but after some months had  passed , the mobile battery  began to weaken .",mobile battery,110,124,negative
i chose to  stay in doors to enjoy the air condition.,air condition,39,52,positive
i enjoy with spa and massage .,spa and massage,13,28,positive
i finally found the right clothing shop for my child .,clothing shop,26,39,positive
i have to admit that  i have a nice time there.,time,36,40,positive
i have to admit that  i have a nice time there.,there,41,46,positive
"i like the food its really tasty, but the prices its absolulty insane, so much expensive, there is so many places with the same  food but so much better prices",prices,153,159,positive
"i like the food its really tasty, but the prices its absolulty insane, so much expensive, there is so many places with the same  food but so much better prices",places,107,113,positive
"i like the food its really tasty, but the prices its absolulty insane, so much expensive, there is so many places with the same  food but so much better prices",prices,42,48,negative
"i like the food its really tasty, but the prices its absolulty insane, so much expensive, there is so many places with the same  food but so much better prices",food,11,15,positive
"i really like this bank , is very easy to  open an account in this bank  and thay offered many services like  credit card and  business account, they have many  offices in all the country  and thay have atm as well",to,39,41,positive
"i really like this bank , is very easy to  open an account in this bank  and thay offered many services like  credit card and  business account, they have many  offices in all the country  and thay have atm as well",open an account in this bank,43,71,positive
"i really like this bank , is very easy to  open an account in this bank  and thay offered many services like  credit card and  business account, they have many  offices in all the country  and thay have atm as well",bank,19,23,positive
"i started buying pieces for my computer and went it came to the CPU, i saw this the store, the price was kinda cheap, the materials are okay is not the greatest, the size was medium, overall quality is okay to decent.",overall quality,183,198,positive
"i started buying pieces for my computer and went it came to the CPU, i saw this the store, the price was kinda cheap, the materials are okay is not the greatest, the size was medium, overall quality is okay to decent.",cheap,111,116,positive
"i started buying pieces for my computer and went it came to the CPU, i saw this the store, the price was kinda cheap, the materials are okay is not the greatest, the size was medium, overall quality is okay to decent.",the price,91,100,positive
"i started buying pieces for my computer and went it came to the CPU, i saw this the store, the price was kinda cheap, the materials are okay is not the greatest, the size was medium, overall quality is okay to decent.",size,166,170,negative
i use it to type about 3000 words a day since one month and it's really good and has adjustable rgb.,it,60,62,positive
i use it to type about 3000 words a day since one month and it's really good and has adjustable rgb.,rgb,96,99,positive
"i used a Discover card and it was received to the country i arrived on vacation, without inconvenience, the only limitation is the amount that was granted to me",amount that was granted to me,131,160,negative
"impressive products to improve work ergonomics, including ergonomics in educational settings and for gamers",products,11,19,positive
in this hotel you can enjoy the massage service .,massage service,32,47,positive
"it has a lot of features ,it's working very good, I used for 7 years till now and I didn't have any problems with it",working,31,38,positive
"it has a lot of features ,it's working very good, I used for 7 years till now and I didn't have any problems with it",it,0,2,positive
"it has a lot of features ,it's working very good, I used for 7 years till now and I didn't have any problems with it",features,16,24,positive
"it has a lot of features ,it's working very good, I used for 7 years till now and I didn't have any problems with it",it,114,116,positive
it has very good noise cancellation and your voice becomes clear due to the filter.,it,0,2,positive
it has very good noise cancellation and your voice becomes clear due to the filter.,filter,76,82,positive
it has very good noise cancellation and your voice becomes clear due to the filter.,noise cancellation and your voice,17,50,positive
it is 144hz supports eye protection so it is the best choice for people who set on computer for a long time.,choice,54,60,positive
it is 144hz supports eye protection so it is the best choice for people who set on computer for a long time.,144hz,6,11,positive
it was a great  experience .,experience,16,26,positive
it was a great  experience .,it,0,2,positive
it was a wonderful experience and i spent a nice time there .,time,49,53,positive
it was a wonderful experience and i spent a nice time there .,there,54,59,positive
it was a wonderful experience and i spent a nice time there .,experience,19,29,positive
it was very good at its point no strong flavors,at its point,17,29,positive
it was very good at its point no strong flavors,it,0,2,positive
it's a great value for money.,it,0,2,positive
it's a great value for money.,value for money,13,28,positive
it's just not so beautifully disigned.,disigned,29,37,negative
it's just somewhat expensive.,it,0,2,negative
"its a very good smartphone, with their 3 cameras it was so good",smartphone,16,26,positive
"its a very good smartphone, with their 3 cameras it was so good",3 cameras,39,48,positive
"muy buen equipo carcaza super resistente tiene un precio accesible, me gusta su diseÃ±o atractivo",precio,50,56,positive
"muy buen equipo carcaza super resistente tiene un precio accesible, me gusta su diseÃ±o atractivo",diseÃ±o,80,86,positive
"muy buen equipo carcaza super resistente tiene un precio accesible, me gusta su diseÃ±o atractivo",equipo carcaza,9,23,positive
"my child was sick and I decided to go to hospital , but i was in shock there .",hospital,41,49,negative
my child was suffering from poor nutrition and coughing a lot but doctor was skillful .,doctor,66,72,positive
my child was suffering from poor nutrition and coughing a lot but doctor was skillful .,nutrition,33,42,negative
"personally I didn't like it at all, I didn't feel anything, I didn't feel that I got better, and I felt very uncomfortable.",it,25,27,negative
"pretty far of my home, and i thought that it would be better :/",it,42,44,negative
"pretty far of my home, and i thought that it would be better :/",of my home,11,21,negative
"psychology is something that helped me a lot in my life, it made me feel more optimistic to see the world differently, I really recommend that you go to a psychologist, it is not necessary to feel bad, even if you are well it helps a lot.",go to a psychologist,147,167,positive
"psychology is something that helped me a lot in my life, it made me feel more optimistic to see the world differently, I really recommend that you go to a psychologist, it is not necessary to feel bad, even if you are well it helps a lot.",psychology,0,10,positive
reI love going the every weekend with my friends .,going the every weekend with my friends,9,48,positive
she saved me from a unjust life,she,0,3,positive
"staff were extra friendly, pool was clean, and the bed was very comfortable",staff,0,5,positive
"staff were extra friendly, pool was clean, and the bed was very comfortable",bed,51,54,positive
"staff were extra friendly, pool was clean, and the bed was very comfortable",pool,27,31,positive
"that good internet service, it is very fast and with very affordable prices",prices,69,75,positive
"that good internet service, it is very fast and with very affordable prices",internet service,10,26,positive
the CPU has 6 cores and 12 threads and I always put it under 100% percentage usage and it performs well but the temperature becomes high in some days.,temperature,112,123,negative
the CPU has 6 cores and 12 threads and I always put it under 100% percentage usage and it performs well but the temperature becomes high in some days.,performs,90,98,positive
"the Netflix transmission service is very nice, the monthly fee is not expensive, but it does not have a great variety in programming.",monthly fee,51,62,positive
"the Netflix transmission service is very nice, the monthly fee is not expensive, but it does not have a great variety in programming.",great variety in programming,104,132,negative
"the Netflix transmission service is very nice, the monthly fee is not expensive, but it does not have a great variety in programming.",Netflix transmission service,4,32,positive
the Quality of camera is awesome and this phone provide with eye-care feature .,phone,42,47,positive
the Quality of camera is awesome and this phone provide with eye-care feature .,Quality of camera,4,21,positive
"the TV is great, amazing wifi connectivity, it brings many applications, I give it 5 stars",applications,59,71,positive
"the TV is great, amazing wifi connectivity, it brings many applications, I give it 5 stars",wifi connectivity,25,42,positive
"the TV is great, amazing wifi connectivity, it brings many applications, I give it 5 stars",TV,4,6,positive
"the baseball game last night was very exciting, from beginning to end, good game they gave us these teams",baseball game,4,17,positive
"the baseball game last night was very exciting, from beginning to end, good game they gave us these teams",teams,100,105,positive
"the baseball game last night was very exciting, from beginning to end, good game they gave us these teams",game,76,80,positive
"the bathroom was lacking the basics amenities, there was not soap or toiler paper, i had to call the service to get one, however it was very clean at least, but i don't think is worth the price.",amenities,36,45,negative
"the bathroom was lacking the basics amenities, there was not soap or toiler paper, i had to call the service to get one, however it was very clean at least, but i don't think is worth the price.",worth the price,178,193,negative
"the bathroom was lacking the basics amenities, there was not soap or toiler paper, i had to call the service to get one, however it was very clean at least, but i don't think is worth the price.",it,129,131,positive
the battery lasts long and is fast.,the battery,0,11,positive
the best caesar salad I have ever eaten.,caesar salad,9,21,positive
"the best command mode tool created for computers, super innovative technology",command mode tool,9,26,positive
"the best command mode tool created for computers, super innovative technology",technology,67,77,positive
the camera of this mobile is superb and the space is big enough .,camera,4,10,positive
the camera of this mobile is superb and the space is big enough .,mobile,19,25,positive
the camera of this mobile is superb and the space is big enough .,space,44,49,positive
the camera quality was poor .,the camera quality,0,18,negative
"the cleaning service arrives very early to the room even when we are there, it only takes care of the beds and the bathroom leaves it the same, also did not change the sheets, it was a bad service",service,189,196,negative
the cleaning service was a good value for money and they did the cleaning well.,cleaning service,4,20,positive
the cleaning service was a good value for money and they did the cleaning well.,cleaning,65,73,positive
the clinic is clean and the doctor is really clever.,doctor,28,34,positive
the clinic is clean and the doctor is really clever.,clinic,4,10,positive
"the computer is very versatile but it does not have enough memory, it has problems connecting to wifi, not really what I expected",connecting to wifi,83,101,negative
"the computer is very versatile but it does not have enough memory, it has problems connecting to wifi, not really what I expected",memory,59,65,negative
"the cost is low however the performance of the phone is very good for its cost, it has good ram memory although its camera is not very good",performance of the phone,28,52,positive
"the cost is low however the performance of the phone is very good for its cost, it has good ram memory although its camera is not very good",cost,4,8,positive
"the cost is low however the performance of the phone is very good for its cost, it has good ram memory although its camera is not very good",ram memory,92,102,positive
"the cost is low however the performance of the phone is very good for its cost, it has good ram memory although its camera is not very good",camera,116,122,negative
the employees weren't wearing masks so I don't feel comfortable shopping here and their gloves are worn incorrectly.,gloves,88,94,negative
the employees weren't wearing masks so I don't feel comfortable shopping here and their gloves are worn incorrectly.,shopping,64,72,negative
the employees weren't wearing masks so I don't feel comfortable shopping here and their gloves are worn incorrectly.,employees,4,13,negative
the experience was terrible I almost died of this disease I had to breathe with oxygen since my blood o2 level was very low,blood o2 level,96,110,negative
the experience was terrible I almost died of this disease I had to breathe with oxygen since my blood o2 level was very low,experience,4,14,negative
the experience was terrible I almost died of this disease I had to breathe with oxygen since my blood o2 level was very low,disease,50,57,negative
"the food is  bad i dont like these tacos , the food is cold and  the service is bad",food,4,8,negative
"the food is  bad i dont like these tacos , the food is cold and  the service is bad",food,47,51,negative
"the food is  bad i dont like these tacos , the food is cold and  the service is bad",tacos,35,40,negative
"the food is  bad i dont like these tacos , the food is cold and  the service is bad",service,69,76,negative
"the food is very good and its service, good atmosphere",service,30,37,positive
"the food is very good and its service, good atmosphere",food,4,8,positive
"the food is very good and its service, good atmosphere",atmosphere,44,54,positive
"the food is very good and your service, very friendly personam",your service,26,38,positive
"the food is very good and your service, very friendly personam",the food,0,8,positive
the food was delicious and variable.,food,4,8,positive
the food was so tasty .,food,4,8,positive
the food was so tasty and the menu is perfect .,food,4,8,positive
the food was so tasty and the menu is perfect .,menu,30,34,positive
the gardeners are the people in charge of beautifying the gardens of our house and maintaining all the necessities regarding the fertiilization of the plants,gardeners,4,13,positive
"the girl answered my calls always and at any time, showing kindness, we decided to remodel the room and she gave very original and excellent ideas, she made renderings to see how the room was going to be, we loved it, something against was the orders she made, as some furniture took time to arrive and that delayed the work",ideas,141,146,positive
"the girl answered my calls always and at any time, showing kindness, we decided to remodel the room and she gave very original and excellent ideas, she made renderings to see how the room was going to be, we loved it, something against was the orders she made, as some furniture took time to arrive and that delayed the work",she,104,107,positive
"the girl answered my calls always and at any time, showing kindness, we decided to remodel the room and she gave very original and excellent ideas, she made renderings to see how the room was going to be, we loved it, something against was the orders she made, as some furniture took time to arrive and that delayed the work",she,148,151,positive
