sentence,aspect_terms,polarity
"fully recommended
Stars: 4.8","['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
It has a beautiful cover and is expensive.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
so it's a matter of luck.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
It has a touch screen.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
"Without being the best law firm, they do their job.","['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
"A year ago, I went to this acupuncture clinic for my back pain.","['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
For example to declare broke up the cost is 1500$,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Stars: 4.5,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
I decided to visit the psychologist.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
"i wish a phone that have it all, camera, screen, ram, internal memory, expandible memory, features, etc.","['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
He treated my pain in 2 separate sessions.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Had some server issues while searching but nothing that lasted long enough to really hamper my experience.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Back two months ago I hire some decorist friend of the family because we were living abroad and planning on moving back into our home and wanted to refresh the rooms.,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
"Exceptionally stable OS and for the price I paid for it, the quality far exceeds the price point.","['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Pretty well!,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
it can be better,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
Very good!,"['time', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found', 'Target Not Found']","['positive', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available', 'Not Available']"
